id,nieuwe_image_link,productnaam,old_image_link
58410930176325,https://ernst-afk.github.io/images-channable/boxr/boxr-original-autumn-3plus1pack.jpg,Bamboe Boxershorts Original 3+1 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/boxr-original-autumn-3plus1pack.jpg?v=1782294258
57310375510341,https://ernst-afk.github.io/images-channable/boxr/2.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/2.jpg?v=1773085640
57310375543109,https://ernst-afk.github.io/images-channable/boxr/2.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/2.jpg?v=1773085640
57310375575877,https://ernst-afk.github.io/images-channable/boxr/2.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/2.jpg?v=1773085640
57310375608645,https://ernst-afk.github.io/images-channable/boxr/2.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/2.jpg?v=1773085640
57310375641413,https://ernst-afk.github.io/images-channable/boxr/2.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/2.jpg?v=1773085640
57310375674181,https://ernst-afk.github.io/images-channable/boxr/2.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/2.jpg?v=1773085640
58300581019973,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Multicolor.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Multicolor.jpg?v=1781690461
58300581052741,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Multicolor.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Multicolor.jpg?v=1781690461
58300581085509,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Multicolor.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Multicolor.jpg?v=1781690461
58300581118277,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Multicolor.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Multicolor.jpg?v=1781690461
58300581151045,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Multicolor.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Multicolor.jpg?v=1781690461
58300581183813,https://ernst-afk.github.io/images-channable/boxr/BOXR_2_3-Pack_Multicolor.jpg,Bamboe Boxershorts Original 2+3 GRATIS,https://cdn.shopify.com/s/files/1/1015/8732/1157/files/BOXR_2_3-Pack_Multicolor.jpg?v=1781690461
